75	CENTRAL HIGH	CENTRAL HIGH HS	23	19	2	2	0	0	0	0	15	8	0	34.6079	-98.0932
76	CHANDLER	CHANDLER HS	38	34	0	0	4	0	0	0	19	19	0	35.7052	-96.8825
77	CHATTANOOGA	CHATTANOOGA HS	11	7	0	4	0	0	0	0	4	7	0	34.424	-98.6564
78	CHECOTAH	CHECOTAH HS	34	19	0	13	2	0	0	0	13	21	0	35.4707	-95.5376
79	CHELSEA	CHELSEA HS	26	16	0	10	0	0	0	0	13	13	0	36.5397	-95.4395
80	CHEROKEE	CHEROKEE HS	9	7	2	0	0	0	0	0	7	2	2	36.753	-98.3525
81	CHEYENNE	CHEYENNE HS	13	13	0	0	0	0	0	0	2	11	0	35.6082	-99.6658
82	CHICKASHA	CHICKASHA HS	29	13	4	4	2	2	0	4	16	13	0	35.0512	-97.9566
83	CHISHOLM	CHISHOLM HS	80	70	4	2	2	0	2	0	34	46	0	36.4643	-97.9276
84	CHOCTAW-NICOMA PARK	CHOCTAW HS	19	13	2	4	0	0	0	0	7	12	0	35.4779	-97.2793
85	CHOUTEAU-MAZIE	CHOUTEAU-MAZIE HS	21	13	2	2	0	0	0	4	15	6	0	36.1926	-95.345
86	CIMARRON	CIMARRON HS	0	0	0	0	0	0	0	0	0	0	0	36.3867	-98.0898
87	CLAREMORE	CLAREMORE HS	82	46	4	28	0	4	0	0	35	47	0	36.3291	-95.6066
88	CLAYTON	CLAYTON HS	14	7	0	7	0	0	0	0	10	4	0	34.5908	-95.366
89	CLEVELAND	CLEVELAND HS	62	40	4	10	2	2	0	4	33	29	0	36.3143	-96.4752
90	CLINTON	CLINTON HS	73	25	28	7	7	4	0	2	37	36	28	35.5037	-98.9839
91	COALGATE	COALGATE HS	22	10	0	10	2	0	0	0	9	13	0	34.5344	-96.2196
92	COLBERT	COLBERT HS	28	13	0	13	2	0	0	0	15	13	0	33.8592	-96.5065
93	COLCORD	COLCORD HS	11	4	0	7	0	0	0	0	7	4	0	36.2632	-94.6924
94	COLEMAN	COLEMAN HS	0	0	0	0	0	0	0	0	0	0	0	34.272	-96.4214
95	COLLINSVILLE	COLLINSVILLE HS	89	43	2	25	2	4	0	13	46	43	2	36.3673	-95.8564
96	COMANCHE	COMANCHE HS	13	7	2	4	0	0	0	0	4	9	0	34.3656	-97.9744
97	COMMERCE	COMMERCE HS	18	7	7	4	0	0	0	0	9	9	4	36.9283	-94.8728
98	COPAN	COPAN HS	0	0	0	0	0	0	0	0	0	0	0	36.9167	-95.9196
99	CORDELL	CORDELL HS	7	7	0	0	0	0	0	0	2	5	0	35.2943	-98.9823
100	COVINGTON-DOUGLAS	COVINGTON-DOUGLAS HS	0	0	0	0	0	0	0	0	0	0	0	36.3059	-97.582
101	COWETA	COWETA HS	78	52	16	2	4	2	2	0	43	35	2	35.9501	-95.6348
102	COYLE	COYLE HS	0	0	0	0	0	0	0	0	0	0	0	35.9508	-97.2351
103	CRESCENT	CRESCENT HS	36	25	0	7	4	0	0	0	15	21	0	35.9537	-97.5888
104	CROOKED OAK	CROOKED OAK HS	20	7	7	2	4	0	0	0	11	9	2	35.4534	-97.479
105	CROWDER	CROWDER HS	8	4	0	2	0	0	0	2	2	6	0	35.124	-95.6693
106	CUSHING	CUSHING HS	140	103	2	13	0	0	0	22	69	71	0	35.9837	-96.742
107	CYRIL	CYRIL HS	0	0	0	0	0	0	0	0	0	0	0	34.8986	-98.2095
108	DALE	DALE HS	33	31	0	2	0	0	0	0	14	19	0	35.388	-97.0465
109	DAVENPORT	DAVENPORT HS	0	0	0	0	0	0	0	0	0	0	0	35.7083	-96.7668
110	DAVIDSON	DAVIDSON HS	2	0	2	0	0	0	0	0	2	0	2	34.2375	-99.0783
111	DAVIS	DAVIS HS	27	25	0	2	0	0	0	0	13	14	0	34.4997	-97.1156
112	DEER CREEK	DEER CREEK HS	288	232	13	10	16	10	0	7	138	150	0	35.6833	-97.625
113	DEER CREEK-LAMONT	DEER CREEK-LAMONT HS	9	7	0	2	0	0	0	0	2	7	0	36.6874	-97.562
114	DEPEW	DEPEW HS	11	7	0	0	0	0	0	4	7	4	0	35.7995	-96.5058
115	DEWAR	DEWAR HS	11	4	0	7	0	0	0	0	7	4	0	35.4589	-95.9378
116	DEWEY	DEWEY HS	0	0	0	0	0	0	0	0	0	0	0	36.8037	-95.937
117	DIBBLE	DIBBLE HS	0	0	0	0	0	0	0	0	0	0	0	35.033	-97.6299
118	DICKSON	DICKSON HS	25	25	0	0	0	0	0	0	11	14	0	34.1903	-96.9836
119	DISCOVERY SCHOOLS OF TULSA	DOVE SCIENCE ACADEMY (TULSA)	44	10	22	4	4	0	0	4	13	31	28	36.1558	-95.8874
120	DOVE SCIENCE ACADEMY (CHARTER)	DOVE SCIENCE ACADEMY (OKC)	66	4	49	2	7	4	0	0	34	32	4	35.494	-97.528
121	DOVER	DOVER HS	0	0	0	0	0	0	0	0	0	0	0	35.9837	-97.9081
122	DRUMMOND	DRUMMOND HS	6	4	0	2	0	0	0	0	2	4	0	36.2462	-98.033
123	DRUMRIGHT	DRUMRIGHT HS	0	0	0	0	0	0	0	0	0	0	0	35.9865	-96.6015
124	DUKE	DUKE HS	0	0	0	0	0	0	0	0	0	0	0	34.6635	-99.5658
125	DUNCAN	DUNCAN HS	42	25	7	2	4	2	0	2	25	17	0	34.5122	-97.9719
126	DURANT	DURANT HS	208	112	19	64	2	4	0	7	120	88	7	34.0266	-96.3793
127	EAGLETOWN	EAGLETOWN HS	0	0	0	0	0	0	0	0	0	0	0	34.0628	-94.5449
128	EARLSBORO	EARLSBORO HS	11	7	0	2	2	0	0	0	7	4	0	35.2682	-96.799
129	EDMOND	MEMORIAL HS	366	265	22	7	19	19	0	34	189	177	0	35.6379	-97.4975
130	EDMOND	NORTH HS	375	283	22	10	13	22	0	25	180	195	0	35.6685	-97.4842
131	EDMOND	SANTA FE HS	321	184	28	7	46	25	0	31	153	168	0	35.64	-97.509
132	EL RENO	EL RENO HS	38	16	7	4	2	2	0	7	17	21	4	35.5335	-97.9555
